originalTitle,rating,startYear,runtimeMinutes,awardWins,numVotes,totalImages,totalVideos,totalCredits,titleType,AwNmExWins,canHaveEpisodes,isAdult,numRegions,countryOfOrigin,genres,ratingMean,ReviewsTotal
Verano violento,"(6, 7]",1960,85,0.6931471805599453,2.6390573296152584,0.6931471805599453,0.0,29,movie,0.0,False,False,1,['MX'],"Mystery,Thriller,Western",6.5,0.0
Hotel du Lac,"(7, 8]",1986,75,0.0,5.308267697401205,1.0986122886681098,0.6931471805599453,42,tvEpisode,0.0,False,False,1,"['GB', 'US']",Drama,7.5,1.9459101490553132
The Adventures of Hurley and Frogurt,"(6, 7]",2007,2,0.0,5.313205979041787,0.6931471805599453,0.0,26,tvEpisode,0.0,False,False,1,['US'],"Drama,Fantasy,Sci-Fi",6.5,0.0
1985 MTV Video Music Awards,"(6, 7]",1985,82,0.0,4.007333185232471,0.6931471805599453,0.0,59,tvSpecial,0.0,False,False,1,['US'],Music,6.5,0.0
We Are As Gods,"(7, 8]",2021,94,0.0,4.394449154672439,2.302585092994046,0.6931471805599453,93,movie,0.6931471805599453,False,False,4,['US'],Documentary,7.5,2.3978952727983707
Nummer,"(7, 8]",2010,17,0.0,2.9444389791664403,0.6931471805599453,0.0,20,short,0.0,False,False,2,['NO'],Short,7.5,0.6931471805599453
Playboy Video Playmate Calendar 2007,"(7, 8]",2006,80,0.0,4.1588830833596715,1.6094379124341003,0.0,48,video,0.0,False,False,2,['US'],Documentary,7.5,0.6931471805599453
Playing God,"(7, 8]",1992,25,0.0,3.5263605246161616,1.9459101490553132,0.0,26,tvEpisode,0.0,False,False,1,['GB'],"Crime,Drama",7.5,1.0986122886681098
Straße der Verheißung,"(5, 6]",1962,93,0.0,2.995732273553991,1.6094379124341003,0.0,18,movie,0.0,False,False,2,['XWG'],Drama,5.5,0.0
Tian shang ren jian,"(4, 5]",1998,92,0.0,3.258096538021482,0.6931471805599453,0.0,35,movie,0.0,False,False,7,"['HK', 'CA', 'SG']",Drama,4.5,0.0
1966 World Series,"(6, 7]",1966,129,0.0,2.772588722239781,0.6931471805599453,0.0,49,tvMiniSeries,0.0,True,False,1,['US'],Sport,6.5,0.0
Killer on My Doorstep,"(7, 8]",1958,40,0.0,1.9459101490553132,0.0,0.0,30,tvEpisode,0.0,False,False,1,['US'],Action,7.5,0.0
