originalTitle,rating,startYear,runtimeMinutes,numVotes,totalImages,totalVideos,totalCredits,titleType,canHaveEpisodes,isRatable,isAdult,numRegions,ratingCount,countryOfOrigin,genres,ratingMean,ReviewsTotal,nominations
The First Legion,"(6, 7]",1951,86,5.43372200355424,8,0,3.6888794541139363,movie,False,True,False,2.4849066497880004,228,['US'],Drama,6.5,2.6390573296152584,0.6931471805599453
Flower's Article,"(7, 8]",2021,21,6.705639094860003,169,0,5.111987788356544,tvEpisode,False,True,False,0.6931471805599453,818,['US'],"Comedy,Fantasy",7.5,2.0794415416798357,0.0
Trip Out,"(5, 6]",2005,92,7.155396301896734,6,0,3.8066624897703196,movie,False,True,False,1.3862943611198906,1280,['US'],Drama,5.5,2.3978952727983707,0.0
Suna no Bara: Yuki no Mokushiroku,"(6, 7]",1993,71,3.912023005428146,1,0,2.5649493574615367,video,False,True,False,1.6094379124341003,49,['JP'],"Action,Animation",6.5,0.6931471805599453,0.0
Nocturne Six,"(2, 3]",2014,80,5.176149732573829,7,1,3.970291913552122,movie,False,True,False,0.6931471805599453,176,"['US', 'CA']","Horror,Sci-Fi,Thriller",2.5,2.772588722239781,0.0
Norma Khan: Paranormal Detective,"(7, 8]",2022,40,5.056245805348308,4,0,4.454347296253507,tvEpisode,False,True,False,0.6931471805599453,156,"['GB', 'US']","Adventure,Animation,Comedy",7.5,0.0,0.0
Fluffenhaus: The Comeback of a Pop Culture Icon,"(7, 8]",2009,27,2.5649493574615367,1,0,4.418840607796598,short,False,True,False,0.6931471805599453,12,['US'],"Comedy,Family,Music",7.5,0.0,0.0
What'll We Watch Tonight?,"(8, 9]",1961,30,4.394449154672439,1,0,3.4657359027997265,tvEpisode,False,True,False,0.6931471805599453,80,['US'],Comedy,8.5,0.0,0.0
Glukhoman,"(4, 5]",1991,74,2.3978952727983707,1,0,2.70805020110221,movie,False,True,False,0.6931471805599453,10,['SUHH'],Crime,4.5,0.0,0.0
Limbo Lane,"(8, 9]",2008,24,2.3978952727983707,1,0,3.1780538303479458,short,False,True,False,0.6931471805599453,10,['US'],"Comedy,Short",8.5,0.0,0.0
Zero,"(8, 9]",2018,52,4.532599493153256,0,0,4.820281565605037,tvEpisode,False,True,False,0.6931471805599453,92,['ES'],"Drama,Fantasy,Romance",8.5,1.0986122886681098,0.0
If You Could Only Be You,"(5, 6]",2015,18,3.6635616461296463,3,0,4.02535169073515,short,False,True,False,1.0986122886681098,38,['US'],"Drama,Short",5.5,0.6931471805599453,1.0986122886681098
Heartbreak Hotel,"(5, 6]",1988,97,7.353081920515432,21,0,5.081404364984463,movie,False,True,False,2.833213344056216,1560,['US'],"Comedy,Musical,Romance",5.5,3.5263605246161616,1.0986122886681098
