startYear;runtimeMinutes;numVotes;totalImages;totalVideos;totalCredits;AwNmExWins;numRegions;ratingCount;ratingMean;ReviewsTotal
2024;13;25;6;1;16;0;1;26;9.5;4
1999;23;205;6;0;26;0;1;205;8.5;0
2015;21;12;1;0;20;0;1;12;5.5;0
2016;53;36;21;0;40;0;5;37;7.5;2
2021;7;5;0;0;8;1;1;5;5.5;0
1986;92;173;4;0;80;2;3;173;6.5;1
1998;95;246;6;0;174;1;3;246;6.5;6
1970;3;12;2;0;13;0;5;12;6.5;0
2020;117;6;1;0;304;0;1;6;6.5;0
1960;98;125;19;0;54;0;4;126;6.5;2
1988;100;11;1;0;11;0;1;11;3.5;0
1988;81;15;0;0;45;0;1;15;7.5;1
1935;70;48;5;0;21;0;2;48;7.5;0
2005;71;26;1;0;8;0;2;26;7.5;1
1929;32;9;2;0;15;0;1;9;4.5;0
1981;120;15;0;0;19;0;3;15;6.5;0
1946;115;4267;114;1;88;0;22;4267;7.5;105
2014;142;7;0;0;8;0;1;7;8.5;0
1981;28;46;1;0;2;0;1;46;6.5;0
1946;120;9772;40;0;58;2;28;9774;7.5;93
1989;92;71;0;0;1;0;1;71;6.5;2
1963;60;18;0;0;30;0;1;18;8.5;0
2002;71;13;0;0;16;0;1;13;6.5;0
2020;47;2701;117;0;375;0;1;2702;7.5;16
2008;90;15;0;0;31;0;2;15;5.5;0
2008;89;1371;5;0;113;0;11;1371;4.5;34
1992;40;11;0;0;22;0;1;11;8.5;0
2012;21;14;0;0;16;0;4;14;6.5;0
1983;40;92;1;0;42;0;1;92;6.5;0
1961;50;109;11;0;40;0;1;109;7.5;3
1996;92;11;2;0;12;0;1;11;6.5;0
2023;30;49;2;0;87;0;1;49;6.5;0
2022;40;10;0;0;12;0;1;10;3.5;0
2018;60;2572;243;2;25;0;21;2580;7.5;70
1971;73;17;4;0;28;0;1;17;4.5;0
2020;59;2193;18;1;633;0;1;2192;8.5;32
2015;66;9;2;0;11;0;2;9;6.5;0
1998;117;34;1;0;48;0;2;34;7.5;1
1997;40;277;1;0;109;0;1;277;6.5;1
2020;40;24;0;0;33;0;1;24;7.5;2
1994;58;17;0;0;6;0;1;17;5.5;1
2015;53;20;1;0;14;2;5;20;5.5;0
1997;30;139;15;0;91;0;4;139;6.5;8
1990;28;9;0;0;17;0;7;9;5.5;0
2007;90;14;0;0;5;0;2;15;6.5;0
1959;71;157;12;0;38;0;7;157;4.5;10
2016;43;2722;19;0;250;0;1;2723;7.5;12
1997;73;11;3;0;2;0;1;11;6.5;0
